Unnamed: 0;Network_Edge_ID;Manually_Added;Distance;Network_Node_A_ID;Network_Node_B_ID;Traffic_flow_trucks_2019;Traffic_flow_trucks_2030
0;2604457;0;5.98;262914;260432;0;0
1;1013364;0;18.559;262914;109845;0;0
2;2604243;0;2.012;262911;109968;1871252;2513351
3;1013595;0;4.728;262911;122766;1871252;2513351
4;2604354;0;15.027.999.999.999.900;262909;260001;1038691;1449368
5;2604080;0;10.988;262908;260000;5200834;7293738
6;2604349;0;1.567;262907;105734;0;0
7;2604426;0;5.415;262906;260360;4849956;6794326
8;2604206;0;2.049;262905;122605;1967669;2864706
9;1018401;0;3.228;262905;260477;1967669;2864706
10;2604534;0;1.501;262904;260473;1967669;2864706
11;2604480;0;2.8;262903;262904;1967669;2864706
12;2604204;0;0.129;262903;260475;1967669;2864706
13;2604522;0;1.444;262902;102973;0;0
14;2604047;0;6.494;262896;260076;0;0
15;2604073;0;4.085;262895;260028;6037959;7997395
16;2604096;0;19.069.999.999.999.900;262894;260010;162278;293698
17;2610360;0;15.659.999.999.999.900;262892;120502;4903691;5917864
18;2610359;0;1.548;262891;116146;4903691;5917864
19;1030375;0;2.053;262891;262892;4903691;5917864
20;1024240;0;4.708;262890;116146;4903691;5917864
21;2610357;0;1.32;262889;262886;1140615;1238495
22;1030384;0;18.230.000.000.000.000;262889;262888;1140615;1238495
23;2610356;0;2.035;262888;262887;1140615;1238495
24;2610354;0;18.869.999.999.999.900;262885;262886;1140615;1238495
25;2610353;0;14.569.999.999.999.900;262885;262884;1140615;1238495
26;2610351;0;1.714;262883;116155;4903691;5917864
27;1024247;0;38.560.000.000.000.000;262883;116145;4903691;5917864
28;2610343;0;1.189;262876;120540;0;0
29;2610328;0;1.012;262861;262860;0;0
30;2610326;0;3.082;262859;262858;0;0
31;2610325;0;3.728;262857;262858;0;0
32;2610324;0;2.259;262856;262857;0;0
33;2610322;0;2.755;262855;120529;0;0
34;2610260;0;2.114;262806;116291;3991446;4313249
35;1030473;0;20.891;262806;100716;3991446;4313249
36;2610258;0;32.910.000.000.000.000;262804;262805;3991446;4313249
37;2610192;0;3.722;262792;116250;4751264;5150348
38;1024380;0;8.312.999.999.999.990;262792;116230;4751264;5150348
39;2610190;0;12.107.999.999.999.900;262790;116433;1875651;2486338
40;1030621;0;7.483;262790;262791;1875651;2486338
41;2610123;0;5.85;262774;120594;4044588;4467199
42;1030721;0;7.974;262774;116446;4044588;4467199
43;2610114;0;3.833;262772;262773;1004680;1076079
44;2610094;0;1.97;262752;262751;1004680;1076079
45;2610093;0;36.839.999.999.999.900;262751;262750;1004680;1076079
46;2610005;0;7.88;262734;120646;2515198;2748466
47;1030912;0;6.997.000.000.000.000;262734;120658;2515198;2748466
48;2500926;0;8.187.000.000.000.000;262727;250465;1499444;1656462
49;2610154;0;26.319.999.999.999.900;262711;116387;0;0
50;2610150;0;7.268;262707;116387;0;0
51;1030696;0;7.183;262707;262706;0;0
52;2610149;0;5.729;262706;116366;0;0
53;2610118;0;6.166;262652;116578;75490;85372
54;2610068;0;1.956;262645;100746;75490;85372
55;2614104;0;9.517.000.000.000.000;262632;262631;0;0
56;2614103;0;9.169;262630;262631;0;0
57;2614102;0;2.575;262630;103667;0;0
58;2614100;0;17.269.999.999.999.900;262629;250745;0;0
59;2614101;0;1.814;262628;262629;0;0
60;2614098;0;16.415;262626;103672;21;44
61;2614097;0;10.156;262625;262480;6689;12245
62;1251746;0;20.114;262624;262623;0;0
63;2614095;0;22.384;262623;262621;0;0
64;2614093;0;2.733;262621;262622;0;0
65;1004548;0;11.639.000.000.000.000;262606;101181;0;0
66;2614077;0;7.737.999.999.999.990;262598;262597;0;0
67;2614076;0;6.664;262597;262589;0;0
68;2614065;0;6.434;262587;262586;4469;7744
69;2614064;0;6.928;262587;262627;4469;7744
70;2614122;0;4.237;262586;262490;4469;7744
71;2614063;0;8.929;262585;103363;5346;9615
72;1004622;0;10.349;262585;103373;5346;9615
73;1004312;0;6.434;262552;262551;11001;19388
74;2614174;0;6.211;262551;198638;11001;19388
75;2614173;0;13.868;262550;262549;13181;21899
76;2614172;0;8.462;262549;262548;13181;21899
77;2614170;0;3.08;262547;262546;13181;21899
78;2614169;0;3.141;262545;262546;13181;21899
79;2614167;0;1.798;262544;262543;13181;21899
80;2614165;0;2.178;262542;262541;15591;24670
81;2614164;0;5.096;262540;262541;15591;24670
82;2614163;0;3.136;262539;262540;15591;24670
83;2614050;0;4.386;262539;103459;15591;24670
84;2614049;0;7.901;262538;198641;15591;24670
85;1307210;0;15.254.000.000.000.000;262538;262537;15591;24670
86;2614048;0;2.01;262537;250743;15591;24670
87;2614047;0;3.487;262536;103459;15591;24670
88;1004289;0;6.492.000.000.000.000;262536;198641;15591;24670
89;2614159;0;3.852;262531;250743;15591;24670
90;2501355;0;39.139.999.999.999.900;262531;262530;15591;24670
91;2614157;0;3.029;262529;262528;9654;11508
92;2614156;0;49.719.999.999.999.900;262527;262528;9654;11508
93;2614155;0;3.025;262527;262526;9654;11508
94;2614153;0;3.585;262525;262524;131;311
95;2614150;0;1.817;262522;262523;11931;13968
96;1004297;0;4.198;262522;262521;11931;13968
97;2614144;0;2.648;262517;186386;4312;7142
98;1251752;0;4.954;262517;198637;4312;7142
99;2614143;0;6.358;262515;262516;4312;7142
100;2614142;0;10.219;262514;262515;4312;7142
101;2614141;0;4.862;262514;168091;4312;7142
102;2614139;0;21.919.999.999.999.900;262511;103454;2311;4838
103;2614127;0;6.519;262509;262510;822976;2232279
104;1004301;0;12.532;262509;103462;822976;2232279
105;2614002;0;0.818;262507;262506;827308;2237261
106;1004306;0;6.072;262507;103464;827308;2237261
107;2614009;0;18.244;262506;103477;827308;2237261
108;2614119;0;1.96;262505;103471;827176;2236950
109;1004298;0;3.89;262505;103470;827176;2236950
110;2614118;0;1.598;262504;103470;839109;2250918
111;2614116;0;1.105;262502;200551;823238;2232590
112;2614138;0;8.652.999.999.999.990;262501;262503;16646;19230
113;1004302;0;22.56;262501;103473;16646;19230
114;2614125;0;15.029.000.000.000.000;262492;262493;4469;7744
115;2614014;0;5.620.399.999.999.990;262492;250748;4469;7744
116;2614124;0;34.271;262491;262493;4469;7744
117;2614123;0;1.973;262491;262490;4469;7744
118;2614017;0;1.932;262481;262474;0;0
119;2615549;0;9.146;262477;201045;96225;99584
120;1309493;0;19.87;262477;121523;96225;99584
121;2614004;0;18.976;262473;262474;0;0
122;2614030;0;6.522;262471;124902;834505;2252314
123;2610089;0;2.02;262458;250463;0;0
124;2500930;0;2.07;262458;250470;0;0
125;2610241;0;5.252.999.999.999.990;262406;120553;0;0
126;1030553;0;5.721;262406;262407;0;0
127;2610240;0;4.902;262405;116274;0;0
128;2610422;0;8.371;262372;262371;102701;79455
129;1031291;0;74.642;262372;262373;102701;79455
130;1033848;0;3.886;262370;122108;1317528;1970165
131;1033845;0;53.370.000.000.000.000;262370;122099;2433751;3560738
132;2610416;0;1.501;262367;262366;2515198;2748466
133;2610415;0;11.420.000.000.000.000;262366;262365;2515198;2748466
134;2610413;0;0.88;262364;120723;2515198;2748466
135;2610405;0;0.9570000000000001;262355;262356;0;0
136;2500954;0;4.195;262355;262354;0;0
137;2610402;0;22.680.000.000.000.000;262354;262353;0;0
138;1030368;0;4.885;262351;120501;2919104;3746805
139;2610394;0;0.604;262345;262344;0;0
140;2610392;0;14.480.000.000.000.000;262344;116101;0;0
141;2610391;0;0.452;262343;116101;0;0
142;1030363;0;1.105;262343;120498;0;0
143;1036497;0;23.609.999.999.999.900;262342;100876;0;0
144;1030407;0;15.419.999.999.999.900;262341;262345;0;0
145;1030378;0;4.792;262341;120505;0;0
146;2610386;0;0.665;262338;116134;754628;813170
147;1030409;0;1.392;262338;262339;754628;813170
148;2610385;0;0.81;262337;120511;0;0
149;1030386;0;1.443;262337;120507;0;0
150;2610383;0;0.565;262335;116134;754628;813170
151;2610371;0;32.319.999.999.999.900;262324;262323;930030;1489639
152;1024274;0;12.196;262324;100699;930030;1489639
153;1024318;0;4.454;262322;262321;930030;1489639
154;2610367;0;1.133;262320;116224;930030;1489639
155;2615585;0;5.621;262312;120773;66950;104816
156;2615582;0;73.770.000.000.000.000;262309;116586;66950;104816
157;2615581;0;10.148;262308;262309;66950;104816
158;2615881;0;10.22;262307;262306;66950;104816
159;1036590;0;15.433;262307;120766;66950;104816
160;2615876;0;11.579;262302;262294;191828;285502
161;1031138;0;11.967;262302;262295;191828;285502
162;2615875;0;3.404;262301;262298;0;0
163;2615874;0;8.531;262300;262298;0;0
164;1031141;0;24.267;262300;262299;0;0
165;2615873;0;5.362;262299;120768;0;0
166;2615872;0;18.362.000.000.000.000;262297;262301;0;0
167;2615870;0;17.660.999.999.999.900;262296;120764;191828;285502
168;1031145;0;22.316.999.999.999.900;262296;124512;66950;104816
169;2615869;0;18.217;262295;120764;191828;285502
170;2615867;0;0.441;262293;262292;0;0
171;2615866;0;0.653;262291;262293;0;0
172;2615864;0;70.829.999.999.999.900;262291;120745;0;0
